worker_id,success,failed,timeouts,channelsOpened,channelsReused,channelsClosed,requestsRegistered,requestCompleted,channelConnected,channelConnectionErrors,requestDurationMs,connectDurationMs
0,31250,0,0,1,31249,0,31250,31250,1,0,125920,0
1,31250,0,0,1,31249,0,31250,31250,1,0,126340,0
2,31250,0,0,1,31249,0,31250,31250,1,0,126289,1
3,31250,0,0,1,31249,0,31250,31250,1,0,126226,1
4,31250,0,0,1,31249,0,31250,31250,1,0,126260,0
5,31250,0,0,1,31249,0,31250,31250,1,0,125890,0
6,31250,0,0,1,31249,0,31250,31250,1,0,126285,0
7,31250,0,0,1,31249,0,31250,31250,1,0,126167,1
8,31250,0,0,1,31249,0,31250,31250,1,0,126342,0
9,31250,0,0,1,31249,0,31250,31250,1,0,126116,0
10,31250,0,0,1,31249,0,31250,31250,1,0,126382,1
11,31250,0,0,1,31249,0,31250,31250,1,0,126300,0
12,31250,0,0,1,31249,0,31250,31250,1,0,126221,0
13,31250,0,0,1,31249,0,31250,31250,1,0,126236,0
14,31250,0,0,1,31249,0,31250,31250,1,0,126263,0
15,31250,0,0,1,31249,0,31250,31250,1,0,125858,1
16,31250,0,0,1,31249,0,31250,31250,1,0,125831,0
17,31250,0,0,1,31249,0,31250,31250,1,0,126305,0
18,31250,0,0,1,31249,0,31250,31250,1,0,126053,1
19,31250,0,0,1,31249,0,31250,31250,1,0,126369,0
20,31250,0,0,1,31249,0,31250,31250,1,0,126391,0
21,31250,0,0,1,31249,0,31250,31250,1,0,126225,1
22,31250,0,0,1,31249,0,31250,31250,1,0,126271,0
23,31250,0,0,1,31249,0,31250,31250,1,0,126366,0
24,31250,0,0,1,31249,0,31250,31250,1,0,126224,1
25,31250,0,0,1,31249,0,31250,31250,1,0,126116,0
26,31250,0,0,1,31249,0,31250,31250,1,0,126350,0
27,31250,0,0,1,31249,0,31250,31250,1,0,125588,0
28,31250,0,0,1,31249,0,31250,31250,1,0,126365,1
29,31250,0,0,1,31249,0,31250,31250,1,0,126365,0
30,31250,0,0,1,31249,0,31250,31250,1,0,126150,0
31,31250,0,0,1,31249,0,31250,31250,1,0,126393,1
