worker_id,success,failed,timeouts,channelsOpened,channelsReused,channelsClosed,requestsRegistered,requestCompleted,channelConnected,channelConnectionErrors,requestDurationMs,connectDurationMs
0,125000,0,0,1,124999,0,125000,125000,1,0,21016,1
1,125000,0,0,1,124999,0,125000,125000,1,0,21033,0
2,125000,0,0,1,124999,0,125000,125000,1,0,21034,0
3,125000,0,0,1,124999,0,125000,125000,1,0,21079,0
4,125000,0,0,1,124999,0,125000,125000,1,0,21070,0
5,125000,0,0,1,124999,0,125000,125000,1,0,21045,1
6,125000,0,0,1,124999,0,125000,125000,1,0,21037,0
7,125000,0,0,1,124999,0,125000,125000,1,0,21051,0
